Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House
Half-blood,9,4,7,5,0,8,8,7,Gryffindor
Muggle-born,6,8,5,7,5,6,4,9,Ravenclaw
Pure-blood,1,4,7,7,1,4,4,6,Hufflepuff
Pure-blood,9,1,3,4,1,9,10,1,Gryffindor
Muggle-born,5,9,7,3,3,6,7,9,Ravenclaw
Half-blood,7,6,2,8,10,9,7,3,Slytherin
Muggle-born,2,2,9,2,5,5,6,3,Hufflepuff
Half-blood,3,9,4,7,2,7,3,9,Ravenclaw
Half-blood,2,9,1,2,2,7,6,7,Ravenclaw
Pure-blood,6,6,7,7,9,5,9,2,Slytherin
Pure-blood,3,10,4,3,3,1,4,9,Ravenclaw
Pure-blood,9,3,5,5,3,10,8,4,Gryffindor
Half-blood,4,7,7,3,1,1,5,1,Hufflepuff
Muggle-born,7,7,6,8,8,7,8,5,Slytherin
Pure-blood,4,3,7,8,10,7,8,3,Slytherin
Muggle-born,1,6,1,9,8,9,10,1,Slytherin
Muggle-born,2,3,7,9,7,6,9,2,Slytherin
Muggle-born,4,10,4,3,0,4,5,10,Ravenclaw
Half-blood,5,1,6,9,8,9,9,4,Slytherin
Muggle-born,6,7,4,1,1,5,3,8,Ravenclaw
Half-blood,4,5,10,6,3,5,3,7,Hufflepuff
Muggle-born,3,10,7,1,2,7,5,9,Ravenclaw
Half-blood,2,2,8,6,4,5,1,2,Hufflepuff
Pure-blood,10,7,3,7,1,8,9,3,Gryffindor
Pure-blood,2,6,1,7,8,5,8,1,Slytherin
Half-blood,2,10,1,3,5,2,2,7,Ravenclaw
Half-blood,6,8,1,1,4,7,4,10,Ravenclaw
Half-blood,1,8,4,5,2,6,1,8,Ravenclaw
Pure-blood,3,5,7,5,1,5,5,2,Hufflepuff
Half-blood,1,3,9,1,0,4,2,4,Hufflepuff
Pure-blood,5,2,8,5,4,2,1,6,Hufflepuff
Pure-blood,4,7,7,2,1,7,4,10,Ravenclaw
Pure-blood,6,3,10,2,5,4,6,2,Hufflepuff
Half-blood,10,7,2,7,1,7,9,4,Gryffindor
Pure-blood,3,3,5,7,8,7,10,2,Slytherin
Muggle-born,7,6,7,1,1,5,1,1,Hufflepuff
Pure-blood,3,7,8,3,1,5,2,1,Hufflepuff
Muggle-born,6,7,3,6,2,1,4,7,Ravenclaw
Pure-blood,7,5,7,7,0,6,9,2,Gryffindor
Half-blood,5,8,1,2,4,7,5,8,Ravenclaw
Muggle-born,4,5,4,9,10,7,7,4,Slytherin
Muggle-born,2,4,2,10,10,6,7,1,Slytherin
Muggle-born,2,8,5,4,5,7,4,9,Ravenclaw
Muggle-born,1,7,8,3,1,2,3,7,Hufflepuff
Half-blood,5,9,5,6,2,6,7,7,Ravenclaw
Pure-blood,4,5,8,2,2,6,5,5,Hufflepuff
Pure-blood,2,3,7,4,0,7,2,3,Hufflepuff
Pure-blood,6,8,1,2,1,1,7,10,Ravenclaw
Pure-blood,3,5,5,7,7,6,8,7,Slytherin
Pure-blood,5,3,2,8,10,9,9,5,Slytherin
Half-blood,5,10,3,7,2,0,2,10,Ravenclaw
Muggle-born,1,6,7,4,5,1,3,7,Hufflepuff
Half-blood,5,4,2,8,8,5,9,3,Slytherin
Muggle-born,1,1,8,7,4,3,3,5,Hufflepuff
Muggle-born,1,4,6,8,8,10,10,1,Slytherin
Pure-blood,7,7,7,3,0,7,2,7,Hufflepuff
Pure-blood,4,2,9,2,2,7,3,4,Hufflepuff
Muggle-born,7,8,1,5,1,4,1,9,Ravenclaw
Half-blood,8,4,7,3,3,9,9,3,Gryffindor
Half-blood,2,9,3,5,2,4,4,10,Ravenclaw
Muggle-born,3,9,3,2,0,5,7,10,Ravenclaw
Pure-blood,1,3,9,5,1,4,6,3,Hufflepuff
Half-blood,7,7,3,7,3,5,10,5,Gryffindor
Half-blood,4,1,10,2,5,2,6,6,Hufflepuff
Muggle-born,4,3,2,10,10,5,7,2,Slytherin
Muggle-born,3,1,10,2,5,3,6,7,Hufflepuff
Muggle-born,4,6,8,1,0,1,3,5,Hufflepuff
